epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.42147,1.04885,2.33464,1.18183,0.9913,0.61265,0.83512,0.58936,0.96389,2.81428,1.15045,0.000652174,0.000652174,0.000652174
2,6.17408,1.00057,1.48782,1.12709,0.71616,0.71896,0.78314,0.56245,1.03088,2.47448,1.21694,0.00129273,0.00129273,0.00129273
3,8.87418,1.0049,1.29184,1.13511,0.81303,0.70968,0.77429,0.56705,0.96343,2.54948,1.18531,0.00190688,0.00190688,0.00190688
4,11.5173,0.99532,1.13352,1.14523,0.43728,0.39785,0.32124,0.24611,1.00922,3.99122,1.18868,0.0018812,0.0018812,0.0018812
5,14.1377,0.94954,0.97555,1.15305,0.86102,0.70968,0.84109,0.61203,0.93389,1.08963,1.12296,0.0018416,0.0018416,0.0018416
6,16.7675,0.93996,0.85922,1.1206,0.99289,0.90323,0.97377,0.75685,0.84907,0.69753,1.07428,0.001802,0.001802,0.001802
7,19.3856,0.88808,0.77767,1.10178,0.97069,0.89039,0.953,0.75116,0.83367,0.73022,1.10198,0.0017624,0.0017624,0.0017624
8,21.9853,0.86678,0.71623,1.09174,0.96557,0.90466,0.96515,0.80126,0.68461,0.59987,1.01078,0.0017228,0.0017228,0.0017228
9,24.6094,0.832,0.64806,1.06286,1,0.93483,0.97602,0.7991,0.71022,0.6129,1.03923,0.0016832,0.0016832,0.0016832
10,27.2169,0.7758,0.60175,1.04244,0.97687,0.90837,0.96217,0.79909,0.69034,0.55005,0.9977,0.0016436,0.0016436,0.0016436
11,29.8211,0.78013,0.59942,1.0511,0.99418,0.91916,0.96989,0.80012,0.68326,0.49044,0.99371,0.001604,0.001604,0.001604
12,32.4751,0.7736,0.5675,1.0388,0.99425,0.92888,0.97836,0.81244,0.66247,0.51725,1.00244,0.0015644,0.0015644,0.0015644
13,35.3017,0.73498,0.54781,1.03167,1,0.92833,0.96712,0.80162,0.65036,0.49022,0.99995,0.0015248,0.0015248,0.0015248
14,37.9968,0.72561,0.52632,1.02915,0.98785,0.96237,0.98482,0.82966,0.62788,0.42976,0.98367,0.0014852,0.0014852,0.0014852
15,40.6939,0.73289,0.51992,1.0194,0.97779,0.94693,0.98241,0.84191,0.59457,0.43984,0.95426,0.0014456,0.0014456,0.0014456
16,43.4535,0.70005,0.50039,1.02579,0.97713,0.94086,0.98208,0.84204,0.61512,0.4372,0.9613,0.001406,0.001406,0.001406
